City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Port-Gentil,GA,80.76,overcast clouds,-0.7193,8.7815,Fengshui Residence
8,Rikitea,PF,76.84,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Busselton,AU,87.08,clear sky,-33.65,115.3333,Observatory Guest House
15,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
17,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
18,Popondetta,PG,86.94,overcast clouds,-8.7537,148.2534,Timos Transit House
20,Rawson,AR,77.23,few clouds,-43.3002,-65.1023,Hosteria Sampedro
28,General Roca,AR,77.4,broken clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
29,New Norfolk,AU,83.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
31,Hithadhoo,MV,81.05,broken clouds,-0.6,73.0833,Scoop Guest House
38,Atuona,PF,78.08,few clouds,-9.8,-139.0333,Villa Enata
49,Lufilufi,WS,83.41,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
50,Kapaa,US,77.47,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
51,Port Macquarie,AU,79.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
53,Butaritari,KI,82.54,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
60,Saint-Pierre,RE,82.08,clear sky,-21.3393,55.4781,Lindsey Hôtel
63,Vaini,TO,81.9,light rain,-21.2,-175.2,Keleti Beach Resort
72,Hobart,AU,84.22,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
77,Cap Malheureux,MU,83.46,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
79,Itarema,BR,75.87,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
81,Saint-Philippe,RE,81.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
86,Mount Isa,AU,87.57,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
88,Samarai,PG,82.96,overcast clouds,-10.6167,150.6667,Nuli Sapi
92,Faanui,PF,80.82,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
100,Pilar,BR,75.13,overcast clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
101,Bambous Virieux,MU,83.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
105,Passo De Camaragibe,BR,76.55,overcast clouds,-9.2368,-35.4901,Chácara vovó candinha
110,Yanam,IN,77.4,broken clouds,16.7333,82.2167,The Regency Hotel
115,Caravelas,BR,76.98,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
117,Dingle,PH,87.06,few clouds,10.9995,122.6711,SEGAYA PROPERTY
118,San Policarpo,PH,82.62,clear sky,12.1791,125.5072,Agapita M. Nicart
119,Mount Gambier,AU,79.56,scattered clouds,-37.8333,140.7667,The Commodore
126,Loma Bonita,PA,79.79,few clouds,8.3833,-80.1667,Posada Acuarela Farallón (Panamá)
127,Mahebourg,MU,83.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
135,Carnarvon,AU,83.71,light rain,-24.8667,113.6333,Hospitality Carnarvon
137,Ahipara,NZ,75.52,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
144,Monrovia,LR,77.65,few clouds,6.3005,-10.7969,Sunset Inn
149,Bengkulu,ID,84.09,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
152,Esperance,AU,83.3,clear sky,-33.8667,121.9,Hospitality Esperance
163,Kailua,US,78.03,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
166,Flinders,AU,84.2,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
167,Puerto Ayacucho,VE,76.77,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
179,Tevaitoa,PF,80.49,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
184,Vila Velha,BR,78.75,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
187,Namatanai,PG,82.74,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
189,Metro,ID,84.72,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
193,Puerto Escondido,MX,76.78,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
202,Ugoofaaru,MV,82.44,overcast clouds,5.6667,73.0,Ungoofaaru Inn
204,Kayattar,IN,79.74,overcast clouds,8.95,77.8,Aafi nowfi Lodge
205,Kalmunai,LK,81.63,few clouds,7.4167,81.8167,VS Villa
215,Antsohihy,MG,76.37,scattered clouds,-14.8796,47.9875,Hotel de Ville
216,Touros,BR,77.31,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
217,Ulladulla,AU,84.78,broken clouds,-35.35,150.4667,Sandpiper Motel
222,Georgetown,MY,89.53,haze,5.4112,100.3354,Cititel Penang
223,Kavieng,PG,81.57,moderate rain,-2.5744,150.7967,Nusa Island Retreat
236,Bonthe,SL,75.51,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
249,Poum,NC,81.84,overcast clouds,-20.2333,164.0167,Gîte kajeon
258,Tam Ky,VN,76.98,broken clouds,15.5667,108.4833,Khách Sạn Đông Á
269,Sorab,IN,76.5,scattered clouds,14.3833,75.1,Soraba Government Guest House
271,Alyangula,AU,84.15,heavy intensity rain,-13.8483,136.4192,Groote Eylandt Lodge
274,Kudat,MY,82.83,scattered clouds,6.8837,116.8477,Dream Garden Hotel
