City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Katsuura,JP,35.1333,140.3,48.11,55,98,11.65,overcast clouds
1,Xining,CN,36.6167,101.7667,16.83,60,58,2.55,broken clouds
2,Jamestown,US,42.097,-79.2353,6.71,85,43,1.01,scattered clouds
3,Kenitra,MA,34.261,-6.5802,62.73,63,7,3.4,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,46.11,65,100,9.95,overcast clouds
5,Port-Gentil,GA,-0.7193,8.7815,80.76,80,99,9.57,overcast clouds
6,Dikson,RU,73.5069,80.5464,7.05,94,100,16.64,overcast clouds
7,Albany,US,42.6001,-73.9662,6.51,55,100,5.99,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,76.84,68,100,6.8,overcast clouds
9,Busselton,AU,-33.65,115.3333,87.08,45,4,12.55,clear sky
10,Yellowknife,CA,62.456,-114.3525,-14.58,82,86,5.01,overcast clouds
11,Presidente Epitacio,BR,-21.7633,-52.1156,70.74,98,91,6.11,overcast clouds
12,Bethel,US,41.3712,-73.414,13.95,53,100,5.99,overcast clouds
13,Ushuaia,AR,-54.8,-68.3,41.94,94,100,2.04,light rain
14,Mataura,NZ,-46.1927,168.8643,58.84,93,100,2.13,overcast clouds
15,Avarua,CK,-21.2078,-159.775,82.45,74,20,8.05,few clouds
16,Cidreira,BR,-30.1811,-50.2056,70.83,70,27,10.65,scattered clouds
17,Geraldton,AU,-28.7667,114.6,84.61,58,0,18.41,clear sky
18,Popondetta,PG,-8.7537,148.2534,86.94,65,100,6.02,overcast clouds
19,Orange,US,33.7,-117.7675,63.48,47,86,1.77,overcast clouds
20,Rawson,AR,-43.3002,-65.1023,77.23,23,20,22.82,few clouds
21,Zhangjiakou,CN,40.81,114.8794,25.72,38,64,3.38,snow
22,Hilo,US,19.7297,-155.09,72.81,81,1,1.01,clear sky
23,Tuatapere,NZ,-46.1333,167.6833,67.44,66,100,2.44,overcast clouds
24,Alcantara,BR,-2.4089,-44.4147,74.01,91,100,4.25,overcast clouds
25,Taonan,CN,45.3333,122.7833,15.69,64,0,0.98,clear sky
26,Kaitangata,NZ,-46.2817,169.8464,57.6,95,100,2.93,overcast clouds
27,Salaspils,LV,56.8601,24.3654,37.27,98,100,13.91,overcast clouds
28,General Roca,AR,-39.0333,-67.5833,77.4,23,54,28.66,broken clouds
29,New Norfolk,AU,-42.7826,147.0587,83.88,30,0,3.0,clear sky
30,Guilin,CN,25.2819,110.2864,46.06,62,21,9.98,few clouds
31,Hithadhoo,MV,-0.6,73.0833,81.05,68,55,3.51,broken clouds
32,East London,ZA,-33.0153,27.9116,68.61,83,11,5.75,few clouds
33,Port Alfred,ZA,-33.5906,26.891,68.76,86,10,8.08,clear sky
34,Tulun,RU,54.5611,100.5792,-2.54,93,61,3.22,broken clouds
35,Tuktoyaktuk,CA,69.4541,-133.0374,-5.69,96,100,16.73,overcast clouds
36,Cape Town,ZA,-33.9258,18.4232,66.11,72,0,1.99,clear sky
37,Aragona,IT,37.4008,13.6176,37.51,80,24,5.37,few clouds
38,Atuona,PF,-9.8,-139.0333,78.08,76,23,14.14,few clouds
39,Yangcun,CN,39.3639,117.0603,37.38,42,0,5.28,clear sky
40,Puerto Ayora,EC,-0.7393,-90.3518,73.18,85,81,5.57,broken clouds
41,Nikolskoye,RU,59.7035,30.7861,27.72,93,100,15.01,light snow
42,Monterey,US,36.2505,-121.2516,47.1,45,8,3.65,clear sky
43,Uusikaupunki,FI,60.8004,21.4084,32.52,96,100,18.21,light snow
44,Nanortalik,GL,60.1432,-45.2371,18.37,70,100,19.62,light snow
45,Zhigansk,RU,66.7697,123.3711,-27.15,99,85,4.88,overcast clouds
46,Codrington,AU,-38.2667,141.9667,72.63,72,96,12.21,overcast clouds
47,Airai,TL,-8.9266,125.4092,65.03,82,100,4.23,overcast clouds
48,Sebezh,RU,56.2955,28.4654,32.47,97,100,14.52,snow
49,Lufilufi,WS,-13.8745,-171.5986,83.41,70,40,12.88,light rain
50,Kapaa,US,22.0752,-159.319,77.47,68,22,8.05,few clouds
51,Port Macquarie,AU,-31.4333,152.9167,79.9,64,41,9.08,scattered clouds
52,Vostochnyy,RU,55.8167,37.8667,24.78,99,97,5.1,overcast clouds
53,Butaritari,KI,3.0707,172.7902,82.54,72,41,17.25,scattered clouds
54,Molchanovo,RU,57.5817,83.7692,-2.58,98,97,4.21,overcast clouds
55,Qaanaaq,GL,77.484,-69.3632,-5.53,87,100,5.14,overcast clouds
56,Ribeira Grande,PT,38.5167,-28.7,59.22,74,79,17.25,broken clouds
57,Chuy,UY,-33.6971,-53.4616,63.88,80,0,6.78,clear sky
58,Sur,OM,22.5667,59.5289,72.88,45,2,2.82,clear sky
59,Fortuna,US,40.5982,-124.1573,46.65,94,100,0.0,overcast clouds
60,Saint-Pierre,RE,-21.3393,55.4781,82.08,69,0,20.71,clear sky
61,Leningradskiy,RU,69.3833,178.4167,-11.2,91,71,4.16,broken clouds
62,Port Elizabeth,ZA,-33.918,25.5701,64.69,94,75,3.44,broken clouds
63,Vaini,TO,-21.2,-175.2,81.9,76,99,11.95,light rain
64,Khatanga,RU,71.9667,102.5,-14.51,98,84,7.52,broken clouds
65,Kutum,SD,14.2,24.6667,47.68,26,7,5.75,clear sky
66,Klaksvik,FO,62.2266,-6.589,31.12,63,100,10.29,overcast clouds
67,San Cristobal,VE,7.7669,-72.225,64.98,84,72,3.33,broken clouds
68,Mar Del Plata,AR,-38.0023,-57.5575,70.88,82,0,20.0,clear sky
69,Whitianga,NZ,-36.8333,175.7,71.62,61,80,7.52,broken clouds
70,Chapais,CA,49.7834,-74.8492,-21.51,100,21,3.04,few clouds
71,Aksu,CN,41.1231,80.2644,29.1,42,87,3.31,overcast clouds
72,Hobart,AU,-42.8794,147.3294,84.22,51,20,1.01,few clouds
73,Hermanus,ZA,-34.4187,19.2345,64.8,89,2,10.4,clear sky
74,Ponta Do Sol,PT,32.6667,-17.1,63.23,41,6,5.53,clear sky
75,Namibe,AO,-15.1961,12.1522,70.18,76,100,3.56,overcast clouds
76,Lebu,CL,-37.6167,-73.65,56.43,90,6,7.9,clear sky
77,Cap Malheureux,MU,-19.9842,57.6142,83.46,70,80,8.99,broken clouds
78,Westport,US,41.1415,-73.3579,15.85,46,100,4.0,overcast clouds
79,Itarema,BR,-2.9248,-39.9167,75.87,84,98,8.95,overcast clouds
80,Gediz,TR,39.0417,29.41,21.42,86,50,4.38,scattered clouds
81,Saint-Philippe,RE,-21.3585,55.7679,81.99,75,85,9.71,overcast clouds
82,Lavrentiya,RU,65.5833,-171.0,-4.07,88,3,3.8,clear sky
83,Impfondo,CG,1.6381,18.0667,67.32,39,21,0.96,few clouds
84,Kodiak,US,57.79,-152.4072,23.65,80,9,9.8,clear sky
85,Bukachacha,RU,52.9833,116.9167,6.3,67,8,3.11,clear sky
86,Mount Isa,AU,-20.7333,139.5,87.57,62,75,10.36,broken clouds
87,Bosaso,SO,11.2842,49.1816,71.89,66,66,3.76,broken clouds
88,Samarai,PG,-10.6167,150.6667,82.96,68,100,6.49,overcast clouds
89,Nurota,UZ,40.5614,65.6886,26.69,70,15,6.53,few clouds
90,Castro,BR,-24.7911,-50.0119,60.22,99,100,5.23,overcast clouds
91,Yumen,CN,40.2833,97.2,18.39,46,0,7.94,clear sky
92,Faanui,PF,-16.4833,-151.75,80.82,71,100,6.24,overcast clouds
93,Bredasdorp,ZA,-34.5322,20.0403,64.27,91,5,4.99,clear sky
94,Talnakh,RU,69.4865,88.3972,-2.79,97,100,8.39,overcast clouds
95,Ojinaga,MX,29.5667,-104.4167,49.41,53,0,4.61,clear sky
96,Longyearbyen,SJ,78.2186,15.6401,6.64,72,0,17.27,clear sky
97,Iskateley,RU,67.6803,53.1512,12.02,94,97,10.98,overcast clouds
98,Salina Cruz,MX,16.1667,-95.2,70.9,62,5,28.27,clear sky
99,Port Hardy,CA,50.6996,-127.4199,47.75,95,100,20.69,light rain
100,Pilar,BR,-9.5972,-35.9567,75.13,79,100,4.36,overcast clouds
101,Bambous Virieux,MU,-20.3428,57.7575,83.21,78,40,10.36,scattered clouds
102,Dover,US,39.1582,-75.5244,21.94,48,30,18.23,scattered clouds
103,Pingliang,CN,35.5392,106.6861,24.71,63,0,13.71,clear sky
104,Sheridan,US,44.8333,-106.9173,39.38,46,0,1.01,clear sky
105,Passo De Camaragibe,BR,-9.2368,-35.4901,76.55,88,95,2.82,overcast clouds
106,Egvekinot,RU,66.3167,-179.1667,-6.25,68,10,2.8,clear sky
107,Guozhen,CN,34.3659,107.359,39.22,64,77,5.39,broken clouds
108,Rancho Palos Verdes,US,33.7445,-118.387,62.94,47,40,5.01,scattered clouds
109,Ajaccio,FR,42.0,8.9167,46.56,70,20,8.05,few clouds
110,Yanam,IN,16.7333,82.2167,77.4,59,64,3.04,broken clouds
111,Kyzyl-Suu,KG,42.3414,78.0056,23.54,66,100,6.11,overcast clouds
112,Narsaq,GL,60.9167,-46.05,14.22,89,100,6.13,overcast clouds
113,Cayambe,EC,0.05,-78.1333,49.46,95,100,4.03,overcast clouds
114,Joppatowne,US,39.4579,-76.3552,21.78,45,0,8.01,clear sky
115,Caravelas,BR,-17.7125,-39.2481,76.98,87,40,8.1,scattered clouds
116,Aasiaat,GL,68.7098,-52.8699,0.39,94,100,16.02,overcast clouds
117,Dingle,PH,10.9995,122.6711,87.06,64,11,3.0,few clouds
118,San Policarpo,PH,12.1791,125.5072,82.62,76,9,8.1,clear sky
119,Mount Gambier,AU,-37.8333,140.7667,79.56,50,40,9.35,scattered clouds
120,Svetlyy,RU,54.675,20.1347,41.05,83,97,32.3,overcast clouds
121,Erenhot,CN,43.6475,111.9767,10.98,88,100,14.36,light snow
122,Panguipulli,CL,-39.6333,-72.3333,48.83,84,50,0.76,scattered clouds
123,Ust-Tsilma,RU,65.441,52.1498,16.02,93,99,6.93,overcast clouds
124,Ous,RU,60.9058,61.5186,-2.72,100,100,3.24,overcast clouds
125,Presidente Medici,BR,-11.1753,-61.9014,71.71,100,100,3.33,overcast clouds
126,Loma Bonita,PA,8.3833,-80.1667,79.79,78,14,12.86,few clouds
127,Mahebourg,MU,-20.4081,57.7,83.25,78,40,10.36,scattered clouds
128,Itaqui,BR,-29.1253,-56.5531,70.84,48,0,11.72,clear sky
129,Durres,AL,41.3231,19.4414,23.18,53,12,5.41,few clouds
130,Barrow,US,71.2906,-156.7887,-15.77,99,89,9.95,overcast clouds
131,Arraial Do Cabo,BR,-22.9661,-42.0278,73.44,95,100,10.16,overcast clouds
132,Cherskiy,RU,68.75,161.3,-28.14,100,92,3.06,overcast clouds
133,Tasiilaq,GL,65.6145,-37.6368,12.36,63,100,12.17,overcast clouds
134,Nome,US,64.5011,-165.4064,1.17,71,4,3.65,clear sky
135,Carnarvon,AU,-24.8667,113.6333,83.71,65,61,10.78,light rain
136,Berlevag,NO,70.8578,29.0864,22.68,79,87,5.3,light snow
137,Ahipara,NZ,-35.1667,173.1667,75.52,53,58,3.53,broken clouds
138,Kunda,IN,25.7167,81.5167,60.15,50,0,10.07,clear sky
139,Chokurdakh,RU,70.6333,147.9167,-20.61,89,85,1.79,overcast clouds
140,Povarovo,RU,56.0667,37.05,24.22,97,100,8.34,overcast clouds
141,Chara,RU,56.9064,118.2631,-10.1,94,43,1.1,scattered clouds
142,Shimanovsk,RU,52.0,127.7,6.1,70,72,8.16,broken clouds
143,Jiexiu,CN,37.0244,111.9125,35.17,49,62,9.8,broken clouds
144,Monrovia,LR,6.3005,-10.7969,77.65,85,23,3.87,few clouds
145,Saskylakh,RU,71.9167,114.0833,-19.17,100,99,3.53,overcast clouds
146,Troina,IT,37.7854,14.5985,39.78,77,2,7.85,clear sky
147,Saint George,US,37.1041,-113.5841,50.34,25,0,1.99,clear sky
148,Hegang,CN,47.4,130.3667,10.69,63,40,9.95,scattered clouds
149,Bengkulu,ID,-3.8004,102.2655,84.09,69,100,5.59,moderate rain
150,Sisimiut,GL,66.9395,-53.6735,6.78,86,100,30.8,light snow
151,Balkanabat,TM,39.5108,54.3671,39.88,62,1,4.68,clear sky
152,Esperance,AU,-33.8667,121.9,83.3,45,6,13.38,clear sky
153,San Jose De Guanipa,VE,8.8872,-64.1651,72.43,77,29,11.56,scattered clouds
154,Nchelenge,ZM,-9.3451,28.734,69.19,87,100,6.96,light rain
155,Fonte Boa,BR,-2.4959,-66.2662,73.09,99,88,3.96,overcast clouds
156,Synya,RU,65.3718,58.0387,15.53,91,100,10.11,overcast clouds
157,Upernavik,GL,72.7868,-56.1549,-4.05,98,100,5.97,overcast clouds
158,Santa Cruz Del Norte,CU,23.1539,-81.9236,62.73,58,95,19.86,overcast clouds
159,Torbay,CA,47.6666,-52.7314,45.28,96,100,35.68,mist
160,San Quintin,MX,30.4833,-115.95,59.02,73,14,6.89,few clouds
161,Thompson,CA,55.7435,-97.8558,-14.64,76,75,0.0,broken clouds
162,Muddebihal,IN,16.3333,76.1333,73.76,28,99,5.12,overcast clouds
163,Kailua,US,21.4022,-157.7394,78.03,72,2,4.0,clear sky
164,Bay Roberts,CA,47.5999,-53.2648,46.06,91,100,11.01,heavy intensity rain
165,Anahuac,MX,27.2333,-100.15,53.38,43,4,11.05,clear sky
166,Flinders,AU,-34.5833,150.8552,84.2,74,98,7.78,overcast clouds
167,Puerto Ayacucho,VE,5.6639,-67.6236,76.77,43,91,6.67,overcast clouds
168,Santa Fe,AR,-31.6333,-60.7,74.01,66,0,1.99,clear sky
169,Guerrero Negro,MX,27.9769,-114.0611,61.21,66,7,10.47,clear sky
170,Abu Kamal,SY,34.4506,40.9171,42.91,80,74,5.41,broken clouds
171,Koshurnikovo,RU,54.1667,93.3,-3.8,89,42,2.93,scattered clouds
172,Saint-Augustin,CA,51.226,-58.6502,12.04,93,100,30.71,snow
173,Roald,NO,62.5833,6.1333,39.9,60,100,24.16,overcast clouds
174,Sitka,US,57.0531,-135.33,35.49,87,100,11.5,moderate rain
175,Amga,RU,60.8953,131.9608,-15.11,92,95,1.95,overcast clouds
176,Trinidad,BO,-14.8333,-64.9,73.62,96,91,1.43,overcast clouds
177,Yazman,PK,29.1212,71.7446,62.42,21,25,4.29,scattered clouds
178,Gotsu,JP,35.0,132.2167,45.84,48,100,10.54,overcast clouds
179,Tevaitoa,PF,-16.7833,-151.5,80.49,73,100,6.62,light rain
180,Korla,CN,41.7597,86.1469,27.14,43,100,3.04,overcast clouds
181,Salym,RU,60.0625,71.4789,7.7,93,100,5.53,overcast clouds
182,Hamilton,US,39.1834,-84.5333,21.36,73,80,1.01,broken clouds
183,Littleton,US,39.6133,-105.0166,40.41,60,0,3.0,clear sky
184,Vila Velha,BR,-20.3297,-40.2925,78.75,89,0,3.44,clear sky
185,Clyde River,CA,70.4692,-68.5914,-15.9,95,100,3.47,overcast clouds
186,Tiznit,MA,29.5833,-9.5,56.77,29,0,24.96,clear sky
187,Namatanai,PG,-3.6667,152.4333,82.74,77,100,5.41,moderate rain
188,Baykit,RU,61.67,96.37,-4.74,100,100,0.29,overcast clouds
189,Metro,ID,-5.1131,105.3067,84.72,69,100,4.68,overcast clouds
190,Te Anau,NZ,-45.4167,167.7167,64.53,71,100,1.28,overcast clouds
191,Avera,US,33.194,-82.5271,32.72,37,0,5.97,clear sky
192,Lubango,AO,-14.9172,13.4925,57.38,79,100,3.49,overcast clouds
193,Puerto Escondido,MX,15.85,-97.0667,76.78,65,0,4.56,clear sky
194,Scarborough,GB,54.2797,-0.4044,39.52,82,22,1.01,few clouds
195,Tiksi,RU,71.6872,128.8694,-9.89,97,51,3.06,broken clouds
196,San Patricio,US,28.017,-97.5169,57.04,55,9,8.39,clear sky
197,Alihe,CN,50.5667,123.7167,12.4,52,8,7.45,clear sky
198,Ilhabela,BR,-23.7781,-45.3581,73.45,95,100,0.85,light rain
199,Hasaki,JP,35.7333,140.8333,48.29,48,80,12.57,broken clouds
200,Jinhua,CN,29.1078,119.6547,39.43,86,96,1.92,overcast clouds
201,Nyurba,RU,63.2842,118.3319,-12.39,96,89,3.96,overcast clouds
202,Ugoofaaru,MV,5.6667,73.0,82.44,68,91,14.12,overcast clouds
203,Vestmannaeyjar,IS,63.4427,-20.2734,40.55,71,100,17.74,overcast clouds
204,Kayattar,IN,8.95,77.8,79.74,67,96,11.34,overcast clouds
205,Kalmunai,LK,7.4167,81.8167,81.63,75,17,5.66,few clouds
206,Pevek,RU,69.7008,170.3133,-15.2,98,100,3.96,overcast clouds
207,Walvis Bay,NA,-22.9575,14.5053,62.1,84,58,5.39,broken clouds
208,Broome,US,42.2506,-75.833,9.05,83,40,7.0,scattered clouds
